name,season,mpg,gp,pts_per_40,ast_per_40,oreb_per_40,dreb_per_40,stl_per_40,blks_per_40,tov_per_40
Klay Thompson,2011,34.7,34,844.9567723342939,146.39769452449568,28.81844380403458,176.36887608069162,64.55331412103746,36.887608069164266,132.56484149855905
Doug McDermott,2014,33.7,35,1108.6053412462907,65.28189910979228,67.65578635014836,221.95845697329375,9.495548961424332,5.9347181008902075,73.59050445103857
Meyers Leonard,2012,31.8,32,545.9119496855346,54.088050314465406,91.82389937106919,237.7358490566038,18.867924528301888,75.47169811320755,85.53459119496856
Michael Carter-Williams,2013,35.2,40,538.6363636363636,331.8181818181818,57.95454545454545,163.63636363636363,126.13636363636363,21.590909090909086,154.54545454545453
Domantas Sabonis,2016,32.1,35,762.6168224299065,78.50467289719626,132.08722741433021,383.8006230529595,26.168224299065418,38.62928348909657,114.6417445482866
Myles Turner,2015,22.2,34,621.6216216216217,36.03603603603604,79.27927927927928,320.72072072072075,18.01801801801802,160.36036036036037,84.6846846846847
Cameron Johnson,2019,29.9,36,813.3779264214047,115.05016722408028,88.29431438127091,189.9665551839465,57.52508361204014,13.377926421404682,72.24080267558529
Malik Monk,2017,32.1,38,939.563862928349,108.41121495327103,14.953271028037383,103.42679127725857,44.85981308411215,23.676012461059187,94.70404984423675
Shai Gilgeous-Alexander,2018,33.7,37,631.454005934718,224.33234421364983,39.16913946587537,142.43323442136497,72.40356083086053,21.364985163204743,117.50741839762611
Devin Vassell,2020,28.7,30,529.6167247386759,68.29268292682927,52.961672473867594,158.8850174216028,58.536585365853654,40.41811846689895,32.05574912891986
James Bouknight,2021,31.7,15,354.57413249211356,34.06940063091483,29.022082018927446,78.23343848580441,21.451104100946374,5.047318611987381,52.996845425867505
Cedric Coward,2025,33.0,6,128.48484848484847,26.666666666666664,13.333333333333332,37.57575757575758,6.0606060606060606,12.121212121212121,15.757575757575758
Jett Howard,2023,31.7,29,519.8738170347003,74.44794952681389,10.094637223974763,93.37539432176656,15.141955835962147,23.974763406940063,46.68769716088328
Xavier Henry,2010,27.5,36,702.5454545454545,77.0909090909091,62.54545454545455,165.8181818181818,78.54545454545455,26.18181818181818,100.36363636363637
Alec Burks,2011,31.6,37,960.759493670886,139.2405063291139,110.12658227848101,192.40506329113924,50.632911392405056,13.924050632911392,122.78481012658227
Jeremy Lamb,2012,37.2,34,648.3870967741934,62.36559139784946,34.40860215053763,144.08602150537635,45.16129032258064,22.58064516129032,73.11827956989247
Taurean Prince,2016,30.8,33,687.012987012987,98.70129870129871,98.70129870129871,155.84415584415584,51.94805194805195,31.16883116883117,114.28571428571429
Steven Adams,2013,23.4,32,394.8717948717949,34.188034188034194,153.84615384615384,193.1623931623932,35.8974358974359,111.11111111111113,59.82905982905983
Trey Lyles,2015,23.0,36,544.3478260869565,66.08695652173913,113.04347826086956,213.91304347826087,33.04347826086956,27.82608695652174,71.30434782608695
Luke Kennard,2017,35.5,37,813.5211267605633,102.53521126760563,48.45070422535211,163.38028169014083,34.92957746478873,14.647887323943662,66.47887323943662
Miles Bridges,2018,31.4,34,741.4012738853503,114.64968152866243,54.777070063694275,247.13375796178343,26.7515923566879,33.12101910828026,85.35031847133759
PJ Washington,2019,29.3,35,724.9146757679181,86.00682593856655,111.94539249146757,249.82935153583617,40.955631399317404,58.70307167235495,94.19795221843003
Tyrese Haliburton,2020,36.7,22,365.1226158038147,154.7683923705722,34.87738419618528,105.72207084468664,58.85558583106267,16.34877384196185,66.4850136239782
Jalen Williams,2022,34.8,33,682.7586206896552,157.4712643678161,21.839080459770116,145.97701149425288,44.827586206896555,20.689655172413794,79.3103448275862
Joshua Primo,2021,22.5,30,433.7777777777778,44.44444444444444,55.111111111111114,124.44444444444444,28.444444444444446,16.0,72.88888888888889
Dereck Lively II,2023,20.6,34,343.6893203883495,71.84466019417475,139.80582524271844,217.47572815533977,33.009708737864074,161.1650485436893,44.66019417475728
Markieff Morris,2011,24.4,38,849.1803278688525,86.88524590163935,168.85245901639342,349.1803278688525,49.18032786885246,70.49180327868852,127.86885245901641
Ed Davis,2010,27.9,23,443.0107526881721,31.54121863799283,94.6236559139785,220.78853046594983,14.336917562724015,91.7562724014337,65.94982078853047
Kelly Olynyk,2013,26.5,31,845.2830188679245,78.49056603773585,113.2075471698113,226.4150943396226,31.698113207547173,52.83018867924528,113.2075471698113
Kendall Marshall,2012,33.0,36,355.1515151515151,425.4545454545455,7.272727272727273,106.66666666666666,52.12121212121212,7.272727272727273,122.42424242424242
Zach LaVine,2014,24.4,37,572.1311475409836,108.19672131147541,29.508196721311478,124.59016393442624,54.09836065573771,9.836065573770492,68.85245901639345
Devin Booker,2015,21.5,38,708.8372093023256,78.13953488372093,31.627906976744185,109.76744186046511,31.627906976744185,3.7209302325581395,68.83720930232558
Donovan Mitchell,2017,32.3,34,655.108359133127,115.1702786377709,45.82043343653251,158.5139318885449,86.687306501548,21.05263157894737,69.3498452012384
Jerome Robinson,2018,36.0,35,807.7777777777777,128.88888888888889,20.0,120.0,33.333333333333336,5.555555555555555,106.66666666666666
Tyler Herro,2019,32.6,37,636.8098159509202,112.88343558282207,18.40490797546012,185.2760736196319,50.30674846625766,14.723926380368098,73.61963190184048
Kira Lewis Jr.,2020,37.6,31,609.5744680851064,172.3404255319149,27.659574468085104,129.7872340425532,59.57446808510638,19.148936170212764,117.02127659574467
